Grades,Destination,Dates,Starting Text,Parent Orientation,Student Orientation,Itinerary (nucleus) (link),Travel details,Safety
7,Jaipur-Abhaneri-Ranthambore,"Batch 1: 12-19 December 2026

Section: Acuity, Cognizance, Idea & Perspicacity","A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",,,,"Departure - 12 Dec at 10:30 pm (reporting 9:45 pm)

Train - MMCT JAIPUR SF (12955) to Sawai Madhopur Junction

Arrival - 19 Dec at 8:45 am
Train - JP BDTS EXP (12980)",
,,"Batch 2: 13-20 December 2026

Section: Acumen, Insight, Envisage, Vision",,,,,"Departure - 13 Dec at 10:30 pm (reporting 9:45 pm)

Train - MMCT JAIPUR SF (12955) to Jaipur

Arrival - 20 Dec at 8:45 am
Train - JP BDTS EXP (12980) OR Ak Tejas Raj Ex (12954)",
8,Jabalpur-Panchmarhi,"Batch 1: Ardour, Elan, Exuberance, Rhapsody.","A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories!",,,,"Departure - 13 Dec at 10:37 pm (reporting 9:45 pm)

Train - Rajkot Rewa SF (22937) to Jabalpur

Arrival - 19 Dec at 10:21 am
Train - JBP BDTS SF SPL (02134)",
